 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol,
 ,575,YDR208W,0.999999999,0,1,1.000000002,
 ,576,YJR077C,0.984584335,0.984584335,0.80933059,0.814567142,
 ,577,YGR088W,1,0,1,0.999999999,
 ,578,YDR297W,1,1,1,0.999999998,
 ,579,YAR015W,-7.72E-12,-2.02E-11,-1.11E-11,-3.09E-11,
 ,580,YLR299W,1,0,0,1,
 ,581,YOR176W,1,0,0,1,
 ,582,YOR109W,1,0,0,1,
 ,583,YOL049W,1,1,0.999999999,0,
 ,584,YDR158W,0,0,0,0,
 ,585,YBR180W,0.999999997,1,0.999999997,1.000000001,
 ,586,YNL247W,1,0,0,1,
 ,587,YHR128W,0.999999997,1,0,0.999999999,
 ,588,YOL126C,1,1,0.999999999,0.999999998,
 ,589,YCR073W-A,1,0,0,1,
 ,590,YMR120C,1,0,0,1,
 ,591,YDR256C,0,1,0.999999997,1,
